quarter,months,n_models,mean_score,variance,std,ceiling_compression,kendall_tau,score_range_90_10,max_score,min_score
2022Q1,0.0,17,0.39429534313725484,0.0009898707131778491,0.03146221087555433,0.8673033315890462,,0.07242500000000002,0.4470520833333333,0.3553645833333334
2022Q2,2.9566360052562417,8,0.3719374999999999,0.0005078566158234126,0.022535674292627955,0.9249688667496883,,0.052880208333333345,0.4030833333333333,0.342
2022Q4,8.968462549277266,8,0.396875,0.0007903664124503982,0.028113456074456554,0.9970071495870974,,0.05933229166666676,0.42203125,0.3517395833333332
2023Q1,11.990801576872535,14,0.3673586309523809,0.0005396844904227717,0.023231110400124478,0.48306347471937905,,0.05072604166666661,0.4179375,0.3326979166666666
2023Q2,14.947437582128778,26,0.3652239583333333,0.000268383587239583,0.016382417014579473,0.6079213184476371,,0.04052604166666662,0.3951458333333333,0.33378125
2023Q3,17.936925098554532,36,0.4070054976851851,0.0020754292254843215,0.04555687901386926,0.6706618030224069,,0.11610416666666667,0.5078541666666667,0.33821875
2023Q4,20.9592641261498,75,0.4139630555555555,0.0018120932992367375,0.042568689188613,0.13169486435078415,,0.10055208333333332,0.5129687500000001,0.3364166666666666
2024Q1,23.98160315374507,145,0.4054313936781609,0.001189347634527824,0.03448691975992962,0.6358239508700119,,0.09031874999999995,0.4821770833333333,0.3289791666666666
2024Q2,26.971090670170828,465,0.4100296818996415,0.0016082632943134798,0.04010315815884679,0.31365984312224926,,0.10282499999999994,0.5230416666666667,0.3046979166666667
2024Q3,29.96057818659658,663,0.40494570135746605,0.001455959764086492,0.03815704081931003,0.563196311947753,,0.0986604166666667,0.5901770833333333,0.3140624999999999
2024Q4,32.98291721419185,1116,0.40614049432497007,0.0020278283995103443,0.04503141569516046,0.5600294623127913,,0.12442708333333335,0.6023645833333333,0.3008229166666666
2025Q1,36.00525624178712,1472,0.40562621716485503,0.002628881190863507,0.05127261638402615,0.5981305268820825,,0.14020208333333334,0.5911041666666667,0.3021875
