model,eval_date,gsm8k,winogrande,arc_challenge,hellaswag,truthfulqa
Lajonbot/vicuna-13b-v1.3-PL-lora_unload,2023-10-14T21-50-51.358366,0.09021986353297953,0.760852407261247,,,
Lajonbot/tableBeluga-7B-instruct-pl-lora_unload,2023-09-17T19-20-10.302969,0.07808946171341925,0.7521704814522494,,,
CalderaAI/30B-Lazarus,2023-10-13T10-30-29.206402,0.07733131159969674,0.7837411207576953,,,
CalderaAI/13B-Ouroboros,2023-10-15T23-20-58.844549,0.004548900682335102,0.5785319652722968,,,
CalderaAI/13B-BlueMethod,2023-09-20T16-03-50.235184,0.07808946171341925,0.771112865035517,,,
CalderaAI/13B-Legerdemain-L2,2023-10-12T20-33-10.328879,0.13040181956027294,0.7521704814522494,,,
mosaicml/mpt-30b-chat,2023-10-16T05-09-13.488891,0.12130401819560273,0.7529597474348856,,,
mosaicml/mpt-7b-instruct,2023-09-23T07-03-23.990596,0.028051554207733132,0.7048145224940805,,,
mosaicml/mpt-7b-chat,2023-10-17T09-38-22.163645,0.04094010614101592,0.6842936069455406,,,
mosaicml/mpt-7b-storywriter,2023-10-16T08-53-05.263222,0.0,0.5114443567482242,,,
mosaicml/mpt-30b,2023-12-04T21-16-10.122572,0.16906747536012132,0.7490134175217048,0.5597269624573379,0.8242381995618403,0.3841558252351552
mosaicml/mpt-30b-instruct,2023-10-14T20-57-09.846204,0.15314632297194844,0.7513812154696132,,,
clibrain/Llama-2-7b-ft-instruct-es,2023-09-17T14-05-09.748904,0.05686125852918878,0.7521704814522494,,,
deepnight-research/llama-2-70B-inst,2023-08-10T00:26:50.478989,,,0.7107508532423208,0.8789085839474209,0.6224972679005382
quantumaikr/open_llama_7b_hf,2023-07-19T17:01:48.631436,,,0.2645051194539249,0.26946823341963755,0.4954484536663258
quantumaikr/KoreanLM-hf,2023-10-15T23-49-19.113066,0.03411675511751327,0.6977111286503551,,,
quantumaikr/llama-2-70b-fb16-guanaco-1k,2023-08-10T00:33:03.607588,,,0.7047781569965871,0.8733320055765784,0.5756052671501329
quantumaikr/QuantumLM-70B-hf,2023-09-23T00-55-40.743446,0.14783927217589082,0.7876874506708761,,,
TinyPixel/llama2-7b-instruct,2023-08-17T12:12:37.965756,,,0.5358361774744027,0.7877912766381199,0.39481096196846566
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,2023-10-15T04-21-29.440361,0.0,0.5556432517758485,,,
GeorgiaTechResearchInstitute/galpaca-30b,2023-10-15T01-05-49.975308,0.028051554207733132,0.6250986582478295,,,
kfkas/Llama-2-ko-7b-Chat,2023-09-18T06-20-53.119467,0.01288855193328279,0.6685082872928176,,,
camel-ai/CAMEL-13B-Role-Playing-Data,2023-10-25T02-33-54.730423,0.07354056103108415,0.7403314917127072,,,
camel-ai/CAMEL-33B-Combined-Data,2023-09-17T14-06-04.717229,0.14101592115238817,0.7829518547750592,,,
